time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,bid3,bid_size3,ask3,ask_size3,bid4,bid_size4,ask4,ask_size4,bid5,bid_size5,ask5,ask_size5,bid6,bid_size6,ask6,ask_size6,bid7,bid_size7,ask7,ask_size7
2021-10-01 09:30:02.981037-04:00,34.47,8.0,34.57,90.0,18.13,310.0,18.15,791.0,16.58,51.0,16.59,1349.0,52.49,90.0,52.59,8.0,16.19,59.0,16.2,19.0,24.39,51.0,24.41,239.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:02.981037-04:00,34.47,8.0,34.57,90.0,18.13,310.0,18.15,791.0,16.58,51.0,16.59,1349.0,52.5,90.0,52.59,8.0,16.19,59.0,16.2,19.0,24.39,51.0,24.41,239.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:02.981037-04:00,34.47,8.0,34.57,90.0,18.13,310.0,18.15,791.0,16.58,51.0,16.59,1349.0,52.5,90.0,52.59,8.0,16.19,59.0,16.2,19.0,24.39,64.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:02.981037-04:00,34.47,8.0,34.57,90.0,18.13,315.0,18.14,57.0,16.58,51.0,16.59,1349.0,52.5,90.0,52.59,8.0,16.19,59.0,16.2,19.0,24.39,64.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:02.981037-04:00,34.47,8.0,34.57,90.0,18.13,315.0,18.14,57.0,16.58,51.0,16.59,1349.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,136.0,24.39,64.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:05.726185-04:00,34.47,8.0,34.56,90.0,18.13,315.0,18.14,57.0,16.58,51.0,16.59,1349.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,136.0,24.39,64.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:05.726185-04:00,34.47,8.0,34.56,90.0,18.13,315.0,18.14,57.0,16.57,841.0,16.58,684.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,136.0,24.39,64.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:07.729936-04:00,34.47,8.0,34.56,90.0,18.13,315.0,18.14,57.0,16.57,841.0,16.58,684.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,136.0,24.39,63.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:07.729936-04:00,34.47,8.0,34.56,90.0,18.13,261.0,18.15,571.0,16.57,841.0,16.58,684.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,136.0,24.39,63.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:07.729936-04:00,34.47,8.0,34.56,90.0,18.13,261.0,18.15,571.0,16.57,841.0,16.58,684.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,118.0,24.39,63.0,24.41,229.0,68.32,2.0,68.75,2.0
2021-10-01 09:30:07.729936-04:00,34.47,8.0,34.56,90.0,18.13,261.0,18.15,571.0,16.57,841.0,16.58,57.0,52.5,90.0,52.59,8.0,16.19,72.0,16.2,118.0,24.39,63.0,24.41,229.0,68.32,2.0,68.75,2.0
