bid2,bid_size2,ask2,ask_size2,,,bid3,bid_size3,ask3,ask_size3
,,,,,,16.65,1458,16.66,1525
,,,,,,16.65,1458,16.66,1525
,,,,,,16.65,1456,16.66,1525
,,,,,,16.65,1456,16.66,1525
18.3,814,18.31,28,,,16.65,1456,16.66,1525
18.3,814,18.31,28,,,16.65,1456,16.66,1525
18.3,814,18.31,28,,,16.65,1456,16.66,1525
18.3,698,18.31,314,,,16.65,1456,16.66,1525
18.3,698,18.31,314,,,16.65,1612,16.66,1525
18.3,698,18.31,314,,,16.65,1612,16.66,1525
18.3,698,18.31,314,,,16.65,1612,16.66,1525
18.3,504,18.31,220,,,16.65,1612,16.66,1525
18.3,504,18.31,220,,,16.65,1846,16.66,1525
18.3,504,18.31,220,,,16.65,1846,16.66,1525
18.3,504,18.31,220,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.65,1846,16.66,1525
,,,,,,16.66,1106,16.67,2230
,,,,,,16.66,1106,16.67,2230
,,,,,,16.66,1106,16.67,2230
,,,,,,16.66,1106,16.67,2230
,,,,,,16.66,1106,16.67,2230
,,,,,,16.66,1768,16.67,2246
,,,,,,16.66,1768,16.67,2246
,,,,,,16.66,1768,16.67,2246
18.32,132,18.33,731,,,16.66,1768,16.67,2246
18.32,132,18.33,731,,,16.66,1768,16.67,2246
18.32,132,18.33,731,,,16.66,1768,16.67,2246
18.32,132,18.33,731,,,16.66,1021,16.67,2246
18.31,795,18.32,608,,,16.66,1021,16.67,2246
18.31,795,18.32,608,,,16.66,1021,16.67,2246
18.31,795,18.32,608,,,16.66,1021,16.67,2246
18.31,795,18.32,608,,,16.66,1021,16.67,2246
18.31,795,18.32,608,,,16.66,1021,16.67,2246
18.31,795,18.32,608,,,16.66,1021,16.67,2246
18.3,691,18.31,4,,,16.66,1021,16.67,2246
18.3,691,18.31,4,,,16.66,1021,16.67,2246
18.3,691,18.31,4,,,16.65,2024,16.66,1661
18.3,691,18.31,4,,,16.65,2024,16.66,1661
18.3,691,18.31,4,,,16.65,2024,16.66,1661
18.3,691,18.31,4,,,16.65,2024,16.66,1661
18.31,725,18.32,626,,,16.65,2024,16.66,1661
18.31,725,18.32,626,,,16.65,2024,16.66,1661
18.31,725,18.32,626,,,16.65,1829,16.66,70
18.31,725,18.32,626,,,16.65,1829,16.66,70
18.31,725,18.32,626,,,16.65,1829,16.66,70
18.31,725,18.32,626,,,16.65,1829,16.66,690
,,,,,,16.65,1829,16.66,690
,,,,,,16.65,1829,16.66,690
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.65,1829,16.66,1654
,,,,,,16.66,1206,16.67,2131
,,,,,,16.66,1296,16.67,2131
,,,,,,16.66,1296,16.67,2131
,,,,,,16.66,1296,16.67,2131
,,,,,,16.66,1296,16.67,2131
,,,,,,16.66,1296,16.67,2131
,,,,,,16.66,1644,16.67,2131
18.32,80,18.33,627,,,16.66,1644,16.67,2131
18.32,80,18.33,627,,,16.66,1644,16.67,2131
,,,,,,16.66,1644,16.67,2131
,,,,,,16.66,1644,16.67,2131
,,,,,,16.66,1644,16.67,2131
,,,,,,16.66,1644,16.67,2131
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,2062,16.66,1733
,,,,,,16.65,1864,16.66,1594
,,,,,,16.65,1864,16.66,1594
,,,,,,16.65,1864,16.66,1594
,,,,,,16.65,1864,16.66,1594
18.31,455,18.32,634,,,16.65,1864,16.66,1594
18.31,455,18.32,634,,,16.65,1864,16.66,420
18.31,455,18.32,634,,,16.65,1864,16.66,420
18.31,455,18.32,634,,,16.65,1864,16.66,420
18.31,455,18.32,634,,,16.65,1864,16.66,420
,,,,,,16.65,1864,16.66,420
,,,,,,16.65,1864,16.66,420
,,,,,,16.65,1864,16.66,420
,,,,,,16.65,1863,16.66,488
,,,,,,16.65,1863,16.66,488
18.31,546,18.32,830,,,16.65,1863,16.66,488
18.31,546,18.32,830,,,16.65,2061,16.66,1079
18.31,546,18.32,830,,,16.65,2061,16.66,1079
18.31,546,18.32,830,,,16.65,2061,16.66,1079
18.31,546,18.32,830,,,16.65,2061,16.66,1079
,,,,,,16.65,2061,16.66,1079
,,,,,,16.65,2061,16.66,1079
,,,,,,16.65,2061,16.66,1079
,,,,,,16.66,1188,16.67,1265
,,,,,,16.66,1188,16.67,1265
,,,,,,16.66,1188,16.67,1265
,,,,,,16.66,1188,16.67,1265
,,,,,,16.66,1188,16.67,1265
,,,,,,16.66,1188,16.67,1265
18.32,492,18.33,606,,,16.66,1188,16.67,1265
18.32,492,18.33,606,,,16.66,1834,16.67,1858
18.32,454,18.33,638,,,16.66,1834,16.67,2254
18.32,454,18.33,638,,,16.66,1834,16.67,2254
18.32,508,18.33,635,,,16.66,1834,16.67,2254
18.32,508,18.33,635,,,16.66,1834,16.67,2254
18.32,508,18.33,635,,,16.66,1834,16.67,2254
18.32,508,18.33,635,,,16.66,1834,16.67,2254
18.32,508,18.33,635,,,16.66,1834,16.67,2254
18.31,546,18.32,454,,,16.66,1834,16.67,2254
18.31,546,18.32,454,,,16.66,1834,16.67,2254
18.31,546,18.32,454,,,16.66,792,16.67,2089
18.31,546,18.32,454,,,16.66,792,16.67,2089
18.31,546,18.32,454,,,16.66,792,16.67,2089
18.31,546,18.32,454,,,16.66,792,16.67,2089
18.31,546,18.32,454,,,16.66,792,16.67,2089
18.31,546,18.32,454,,,16.66,792,16.67,2089
18.31,182,18.32,643,,,16.66,792,16.67,2089
18.31,182,18.32,643,,,16.65,1853,16.66,790
18.31,182,18.32,643,,,16.65,1853,16.66,790
18.31,182,18.32,643,,,16.65,1853,16.66,790
18.31,455,18.32,734,,,16.65,1853,16.66,790
18.31,455,18.32,734,,,16.65,2051,16.66,907
18.31,455,18.32,734,,,16.65,2051,16.66,907
18.31,455,18.32,734,,,16.65,2051,16.66,907
18.31,455,18.32,370,,,16.66,396,16.67,2045
18.31,455,18.32,370,,,16.66,396,16.67,2045
18.31,455,18.32,370,,,16.66,396,16.67,2045
18.31,455,18.32,275,,,16.66,396,16.67,2045
18.31,455,18.32,275,,,16.65,1038,16.66,349
18.31,455,18.32,275,,,16.65,1038,16.66,349
18.31,455,18.32,275,,,16.65,1038,16.66,349
18.31,455,18.32,275,,,16.66,1188,16.67,1960
18.31,455,18.32,275,,,16.66,1188,16.67,1960
18.31,455,18.32,275,,,16.66,1188,16.67,1960
18.31,1021,18.32,16,,,16.66,1188,16.67,1960
18.31,1021,18.32,16,,,16.66,1188,16.67,1960
18.31,1021,18.32,16,,,16.66,1188,16.67,1960
18.31,455,18.32,561,,,16.66,1188,16.67,1960
18.31,455,18.32,561,,,16.66,198,16.66,101
18.31,455,18.32,561,,,16.66,198,16.66,101
18.31,455,18.32,561,,,16.66,198,16.66,201
18.31,455,18.32,561,,,16.66,198,16.66,201
18.31,455,18.32,180,,,16.66,198,16.66,201
18.31,455,18.32,180,,,16.66,198,16.66,201
18.31,455,18.32,180,,,16.66,198,16.66,201
18.31,455,18.32,180,,,16.65,2044,16.66,468
18.31,747,18.32,180,,,16.65,2044,16.66,468
18.31,747,18.32,180,,,16.65,2044,16.66,468
18.31,747,18.32,180,,,16.65,2044,16.66,468
18.31,747,18.32,180,,,16.65,2044,16.66,468
18.31,982,18.32,137,,,16.65,2044,16.66,468
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.66,1217,16.67,2197
18.31,982,18.32,137,,,16.65,1851,16.66,1500
18.3,662,18.31,11,,,16.65,1851,16.66,1500
18.3,662,18.31,11,,,16.65,1851,16.66,1500
18.3,662,18.31,11,,,16.65,1851,16.66,1500
18.3,662,18.31,11,,,16.65,1851,16.66,1500
18.31,546,18.32,458,,,16.65,2037,16.66,872
18.31,546,18.32,458,,,16.65,2037,16.66,872
18.31,546,18.32,458,,,16.65,2037,16.66,872
18.31,1187,18.32,31,,,16.65,2037,16.66,872
18.31,1187,18.32,31,,,16.66,1188,16.67,1217
18.31,1187,18.32,31,,,16.66,1188,16.67,1217
18.31,1187,18.32,31,,,16.66,1188,16.67,1217
18.31,1187,18.32,31,,,16.66,1827,16.67,1212
18.31,1187,18.32,31,,,16.66,1827,16.67,1212
18.31,1187,18.32,31,,,16.66,1827,16.67,1212
18.32,273,18.33,553,,,16.66,1827,16.67,1212
18.32,273,18.33,553,,,16.66,1827,16.67,1212
18.32,273,18.33,553,,,16.66,1798,16.67,2030
18.32,273,18.33,553,,,16.66,1798,16.67,2030
18.32,273,18.33,553,,,16.66,1798,16.67,2030
18.32,273,18.33,553,,,16.66,1798,16.67,2030
18.32,908,18.33,384,,,16.66,1798,16.67,2030
18.32,908,18.33,384,,,16.66,1798,16.67,2030
18.32,908,18.33,384,,,16.66,1798,16.67,2030
18.32,908,18.33,384,,,16.66,1798,16.67,2030
18.33,144,18.33,1,,,16.66,1990,16.67,827
18.33,144,18.33,1,,,16.66,1990,16.67,827
18.33,144,18.33,1,,,16.66,1990,16.67,824
18.33,77,18.33,1,,,16.66,1990,16.67,824
18.33,77,18.33,1,,,16.66,1990,16.67,824
18.33,77,18.33,1,,,16.66,1990,16.67,824
18.33,77,18.33,1,,,16.66,1990,16.67,824
18.32,869,18.33,1,,,16.66,1990,16.67,824
18.32,869,18.33,1,,,16.66,1990,16.67,824
18.32,869,18.33,1,,,16.66,1990,16.67,762
18.32,869,18.33,1,,,16.66,1990,16.67,762
18.32,869,18.33,1,,,16.67,168,16.67,171
18.33,838,18.34,409,,,16.67,168,16.67,171
18.33,838,18.34,409,,,16.67,168,16.67,171
18.33,838,18.34,409,,,16.67,168,16.67,171
18.33,838,18.34,409,,,16.67,168,16.67,171
18.33,838,18.34,409,,,16.67,168,16.67,171
18.32,534,18.33,479,,,16.67,168,16.67,171
18.32,534,18.33,479,,,16.67,168,16.67,171
18.32,534,18.33,479,,,16.66,1608,16.67,1619
18.32,534,18.33,479,,,16.66,1608,16.67,1619
18.32,534,18.33,479,,,16.66,1608,16.67,1619
18.32,534,18.33,479,,,16.66,1944,16.67,1619
18.32,534,18.33,479,,,16.66,1944,16.67,1619
,,,,,,16.66,1944,16.67,1619
,,,,,,16.66,1944,16.67,1619
18.32,870,18.33,1,,,16.66,2112,16.67,1619
18.32,870,18.33,1,,,16.66,2112,16.67,1619
18.33,367,18.34,521,,,16.66,1944,16.67,942
18.33,367,18.34,521,,,16.66,1944,16.67,942
18.33,367,18.34,521,,,16.66,1944,16.67,942
,,,,,,16.66,1944,16.67,942
,,,,,,16.66,1944,16.67,942
,,,,,,16.66,1944,16.67,942
,,,,,,16.66,1776,16.67,1715
,,,,,,16.66,1776,16.67,1715
,,,,,,16.66,1776,16.67,1715
,,,,,,16.66,1944,16.67,1051
18.33,497,18.34,545,,,16.66,1944,16.67,1051
